IBP_EMP_ASCII   SW_OPER_IBP_CLI_2__00000000T000000_99999999T999999_0101.cdf
PARAMS 5
-3.1139558478800001D+02  5.0873115439293404D+00  1.7340261928171099D+00 -1.7128020191690101D+00  1.0154686788349201D+00
GCOEF 5
-2.2346348384564600D+01 -1.1177109609439800D+01  7.0048493684080896D+01  7.0684528978846801D+00 -1.6454246628440799D+02
SHCOEF 12 5
MON 1 -1.5346848161699100D+00 -1.1326512636850899D-01 -5.5604863577159802D-01  1.8698836428894000D-01  3.1103200079611099D-01
MON 2 -1.7571942935916001D+00  1.5871516723572901D-01 -1.7906322127873800D-01 -1.2758570294013900D-02 -9.8729738305285100D-02
MON 3 -2.2751291849977502D+00 -5.8828418131427300D-02  5.7205772693682898D-02 -1.2191427341073199D-01  2.4639127172070899D-02
MON 4 -2.1380101357140000D+00  2.4028216588122800D-01  2.6219485798843800D-01 -5.7740075993209301D-02  2.0674721652007300D-01
MON 5 -1.3722057371917999D+00  2.7946582850480201D-01 -1.6462316999947000D-03  1.8217242121248400D-01  1.2958025603799700D-01
MON 6 -1.9403910888164300D+00  5.0504146275628503D-01 -1.1738852290675100D-02  3.1283425888160099D-01  2.5835040796258701D-01
MON 7 -1.5704781985540399D+00  4.6906077559844700D-01  1.4815537196769400D-02  3.6470899884279301D-01 -1.2986304979996799D-01
MON 8 -1.6303144412536701D+00  3.1795124936978297D-01  3.2884276593632700D-01  2.0134741303864501D-01 -7.8226075086234706D-02
MON 9 -1.8588564500213500D+00  8.1217580234318507D-02  2.5362218185256402D-01 -2.1967219680915001D-02  1.5538749017417501D-02
MON 10 -2.2649070768451098D+00 -3.0597144916739101D-02 -3.4492690394034797D-01 -9.7175960477173806D-02  1.6691773486355199D-01
MON 11 -2.1995392108332199D+00 -2.5060366602412598D-01 -3.9116443966138997D-01 -2.8152893653906799D-02 -3.6801587055370101D-02
MON 12 -9.9032246794564505D-01 -1.5626286819305901D-01 -1.1150051141156900D+00  6.9253120861820297D-02  2.9772023897485600D-01
DENS 360 12
ROW 1  5.1582357261249995D-04  3.9631314227389999D-04  1.4847019546114001D-03  2.8326999082699000D-03  4.4437712696481996D-03  5.4183408002717003D-03  5.6831687934212000D-03  3.6345700098181001D-03  2.2516457309755002D-03  1.4080477374782000D-03  7.0659288681279998D-04  4.3534698778869999D-04
ROW 2  5.1715729841200005D-04  4.0537686662480001D-04  1.4864683224673999D-03  2.8221417590670000D-03  4.4025930027617004D-03  5.4601493314320997D-03  5.7575654481468999D-03  3.6655099207659001D-03  2.2695458121123001D-03  1.4329967464527000D-03  6.9568700252159996D-04  4.2567664755109998D-04
ROW 3  5.1846106052369999D-04  4.1591624578690001D-04  1.4879139233384001D-03  2.8100106943731999D-03  4.3565719583322999D-03  5.5014298425040999D-03  5.8234026590299002D-03  3.6949971262208998D-03  2.2876159089360000D-03  1.4580140398021001D-03  6.8449617026570002D-04  4.1647025288850002D-04
ROW 4  5.1962747290030002D-04  4.2780675109330000D-04  1.4890792322163999D-03  2.7963433703402998D-03  4.3058114022436001D-03  5.5422650948830999D-03  5.8804220714993999D-03  3.7227440618885000D-03  2.3057599637890001D-03  1.4829905539570001D-03  6.7324070612640005D-04  4.0751348126450001D-04
ROW 5  5.2055813890630005D-04  4.4090694267760001D-04  1.4900100252185999D-03  2.7811081071958000D-03  4.2507765150570000D-03  5.5826906503674998D-03  5.9284864289301997D-03  3.7486469653452998D-03  2.3238769515206998D-03  1.5078202682323001D-03  6.6216967751750000D-04  3.9858434301069998D-04
ROW 6  5.2117144486939996D-04  4.5506089262679997D-04  1.4907562555167000D-03  2.7644236958627002D-03  4.1921886058105002D-03  5.6227044227123999D-03  5.9675790824961997D-03  3.7725819716776000D-03  2.3418618741335999D-03  1.5323991960265000D-03  6.5150540643780001D-04  3.8943914111579998D-04
ROW 7  5.2138151679150002D-04  4.7010086196470002D-04  1.4913708973269000D-03  2.7463342680083000D-03  4.1305316204734996D-03  5.6622664555559003D-03  5.9977997806093001D-03  3.7944030902620999D-03  2.3596069212077002D-03  1.5566092093661000D-03  6.4143587664370000D-04  3.7991342259479998D-04
ROW 8  5.2117453077749998D-04  4.8585016253939998D-04  1.4919087873507000D-03  2.7268862609388998D-03  4.0663091285972003D-03  5.7012986707048003D-03  6.0186364533879998D-03  3.8139751627041000D-03  2.3770027728719999D-03  1.5803214808542000D-03  6.3213527550599999D-04  3.6988301500510002D-04
ROW 9  5.2059158714170000D-04  5.0212613546179996D-04  1.4924254920103000D-03  2.7061288093899998D-03  4.0000316711271003D-03  5.7396845504608003D-03  6.0309992211225001D-03  3.8311755098768001D-03  2.3939400166297000D-03  1.6034529877327001D-03  6.2375601554090000D-04  3.5927272449470002D-04
ROW 10  5.1969812145790002D-04  5.1874722993839998D-04  1.4929762271489999D-03  2.6841142510754001D-03  3.9321825055206004D-03  5.7772403421918004D-03  6.0354880721300002D-03  3.8458956571368001D-03  2.4103106449810999D-03  1.6258953714028000D-03  6.1642592354299998D-04  3.4806043307630000D-04
ROW 11  5.1860320011639998D-04  5.3551322140789998D-04  1.4936148546197000D-03  2.6608987202629999D-03  3.8632260215669002D-03  5.8137062922761999D-03  6.0325736913258996D-03  3.8580430970444998D-03  2.4260095976416998D-03  1.6475366992671000D-03  6.1024611881910001D-04  3.3623177853310001D-04
ROW 12  5.1745855839320000D-04  5.5222412652920002D-04  1.4943929774432999D-03  2.6365427999285001D-03  3.7937536126906000D-03  5.8488943905084002D-03  6.0227710808904000D-03  3.8675430302788998D-03  2.4409363103140998D-03  1.6682610202904001D-03  6.0539079219160000D-04  3.2392452485150000D-04
ROW 13  5.1646232958949998D-04  5.6870531303569998D-04  1.4953591520611000D-03  2.6111122005431000D-03  3.7241726317167002D-03  5.8825226928516001D-03  6.0066209811307000D-03  3.8743400107189001D-03  2.4549962314698000D-03  1.6879482830317999D-03  6.0184423704010004D-04  3.1130288675829999D-04
ROW 14  5.1590150911379998D-04  5.8479144567500003D-04  1.4965582327188000D-03  2.5846784323258001D-03  3.6548448914090000D-03  5.9142713935172002D-03  5.9846713545233998D-03  3.8781848109512001D-03  2.4681022693907001D-03  1.7064746582134999D-03  5.9957601310650004D-04  2.9854567674700001D-04
ROW 15  5.1601347823130000D-04  6.0032896283220005D-04  1.4980308592931000D-03  2.5573194377957998D-03  3.5860838179500999D-03  5.9437846843548997D-03  5.9571647136671003D-03  3.8792634606636999D-03  2.4801761337537001D-03  1.7237132923924000D-03  5.9856538901579995D-04  2.8585828018679998D-04
ROW 16  5.1706595056710001D-04  6.1517836006060001D-04  1.4998130960038000D-03  2.5291201526455001D-03  3.5181541740222999D-03  5.9706736588851003D-03  5.9247604455615003D-03  3.8776087200927999D-03  2.4911495391692000D-03  1.7394406963504999D-03  5.9876482362539998D-04  2.7347842928409998D-04
ROW 17  5.1932760880769998D-04  6.2921627219220003D-04  1.5019362245254999D-03  2.5001729651969000D-03  3.4514001014391998D-03  5.9945204201512997D-03  5.8881531519635998D-03  3.8732591809824001D-03  2.5009652421668000D-03  1.7535547544315000D-03  6.0010176520390005D-04  2.6170498345550001D-04
ROW 18  5.2305632151610003D-04  6.4233735149329995D-04  1.5044266911273000D-03  2.4705780478696000D-03  3.3859203867430999D-03  6.0148834979716998D-03  5.8477421754043000D-03  3.8662765069853999D-03  2.5095778879646001D-03  1.7659756539369000D-03  6.0248089755710001D-04  2.5072092991210003D-04
ROW 19  5.2848751212630004D-04  6.5445594342359995D-04  1.5073062036955001D-03  2.4404435380116999D-03  3.3218260571419001D-03  6.0309870837865001D-03  5.8038630783556998D-03  3.8567447010338998D-03  2.5168949419980000D-03  1.7765823729248001D-03  6.0584534113649995D-04  2.4072619586380000D-04
ROW 20  5.3599642500440001D-04  6.6542742660980001D-04  1.5105919709226001D-03  2.4098855499459998D-03  3.2592194315919998D-03  6.0425089356443999D-03  5.7567831856655998D-03  3.8447688530240001D-03  2.5229526776031999D-03  1.7852617701154001D-03  6.1000816746630004D-04  2.3189440450970000D-04
ROW 21  5.4566049679430004D-04  6.7527081295929998D-04  1.5143043312484999D-03  2.3790280049820998D-03  3.1981825250672002D-03  6.0490768736745004D-03  5.7067004764848996D-03  3.8304733938130000D-03  2.5277490100007001D-03  1.7919116343133000D-03  6.1478680606910001D-04  2.2436621723750000D-04
ROW 22  5.5750584724760001D-04  6.8398892664279999D-04  1.5184580976385000D-03  2.3480017959649001D-03  3.1387842984455000D-03  6.0502408130729997D-03  5.6536382442825004D-03  3.8139999071858002D-03  2.5312920206671998D-03  1.7964438755550000D-03  6.2002243540249999D-04  2.1838831948850000D-04
ROW 23  5.7156890764260002D-04  6.9159334672049997D-04  1.5230473367949999D-03  2.3169543802886001D-03  3.0812005268301000D-03  6.0455757097014999D-03  5.5975785235750000D-03  3.7954927565622002D-03  2.5336025333208001D-03  1.7987877669383000D-03  6.2555046953070002D-04  2.1393501508080000D-04
ROW 24  5.8782775519980002D-04  6.9812092660360005D-04  1.5280758531863001D-03  2.2860360184119000D-03  3.0254912302055000D-03  6.0346928250065001D-03  5.5387243139840003D-03  3.7750029340255001D-03  2.5347135959660999D-03  1.7988931400560999D-03  6.3120416719530004D-04  2.1096302064789999D-04
ROW 25  6.0620310394070005D-04  7.0363421844310005D-04  1.5335459227749000D-03  2.2553968975333001D-03  2.9716304230581001D-03  6.0172507888387999D-03  5.4770393143405999D-03  3.7528643521390999D-03  2.5346697678019000D-03  1.7965296202728999D-03  6.3681820481900002D-04  2.0944022147899999D-04
ROW 26  6.2661661033340001D-04  7.0822166899370004D-04  1.5394590667680999D-03  2.2251911003118999D-03  2.9196985081070001D-03  5.9929660365413999D-03  5.4124604412137001D-03  3.7292600123668002D-03  2.5335262302044002D-03  1.7918976588772999D-03  6.4220761025240004D-04  2.0929914757290000D-04
ROW 27  6.4895964707820000D-04  7.1199756510920002D-04  1.5458168373791001D-03  2.1955753175054000D-03  2.8697885615171000D-03  5.9614734218262997D-03  5.3449113923631003D-03  3.7043748550713001D-03  2.5313477440322999D-03  1.7850413102610001D-03  6.4720700812899998D-04  2.1048027461680001D-04
ROW 28  6.7283043310730005D-04  7.1510170314299998D-04  1.5526215928747999D-03  2.1667074277747999D-03  2.8220075453775999D-03  5.9222395236744997D-03  5.2743164337738999D-03  3.6783929851312998D-03  2.5282074777958001D-03  1.7760278998161000D-03  6.5168853277200000D-04  2.1292482459360000D-04
ROW 29  6.9797201789630005D-04  7.1768963191749997D-04  1.5598772395064001D-03  2.1387449673348998D-03  2.7765369726447000D-03  5.8757511006201999D-03  5.2005681698976004D-03  3.6514951621482998D-03  2.5241857327963002D-03  1.7649573657028000D-03  6.5552996995639999D-04  2.1637156790340001D-04
